Team,Att,Cmp,CmpPct,Yds/Att,Pass,TD,INT,Rate,1st,1stPct,20+,40+,Sck,SckY,Rush,YPC,RushPct,RushPct2,RushPct3,Rec,Yds,Yds/Rec,RecPct1,RecPct2,RecPct3,Rsh,Tot,2-PT,3rd,3rdPct,4th,4thPct,Scrm
Jets,637.0,352.0,55.3,6.3,4023.0,23.0,29.0,67.5,192.0,30.1,50.0,8.0,20.0,99.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Packers,600.0,348.0,58.0,6.5,3916.0,21.0,16.0,78.2,197.0,32.8,43.0,7.0,34.0,238.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Rams,587.0,380.0,64.7,9.4,5492.0,37.0,23.0,99.7,247.0,42.1,79.0,21.0,44.0,260.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
49ers,583.0,366.0,62.8,7.6,4400.0,32.0,10.0,97.0,211.0,36.2,61.0,9.0,25.0,161.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Chiefs,582.0,342.0,58.8,7.6,4408.0,29.0,15.0,88.5,207.0,35.6,59.0,8.0,34.0,259.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Chargers,578.0,311.0,53.8,6.1,3540.0,19.0,30.0,61.8,156.0,27.0,41.0,9.0,53.0,302.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Eagles,575.0,331.0,57.6,5.9,3386.0,21.0,15.0,75.9,182.0,31.6,46.0,5.0,45.0,262.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Colts,571.0,357.0,62.5,7.7,4413.0,33.0,15.0,94.7,213.0,37.3,51.0,8.0,20.0,131.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Broncos,569.0,354.0,62.2,7.8,4464.0,28.0,12.0,94.2,223.0,39.2,65.0,10.0,30.0,221.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Panthers,566.0,340.0,60.1,6.8,3850.0,19.0,19.0,77.7,201.0,35.5,47.0,2.0,69.0,382.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
