Team,FGM,Att,FG,1-19 >,20-29 >,30-39 >,40-49 >,50-59 >,60+ >,FGPct,XPM,XP,KRet,PRet,KO,Yds,TB,Ret,RetPct,OSK,OSKPct,OOB,TD,Cmp,CmpPct,Yds/Att,Pass,INT,Rate,1st,1stPct,20+,40+,Sck,SckY,Avg,FC,FUM
Ravens,35.0,39.0,89.7,2_2,9_9,13_12,12_10,0_0,0_0,1.0,35.0,98.55,0.0,0.0,80.0,1790.0,26.0,38.0,22.4,2.0,0.0,1.0,5.0,334.0,61.45,7.0,3792.5,15.0,84.75,184.0,33.9,16.5,3.0,36.0,237.5,8.7,17.0,2.0
Packers,33.0,38.0,86.8,0_0,8_7,10_10,15_13,0_0,0_0,1.0,35.0,98.55,0.0,0.0,80.0,1790.0,26.0,38.0,22.4,2.0,0.0,1.0,5.0,334.0,61.45,7.0,3792.5,15.0,84.75,184.0,33.9,16.5,3.0,36.0,237.5,8.7,17.0,2.0
Panthers,31.0,35.0,88.6,1_1,15_13,9_8,8_7,0_0,0_0,1.0,35.0,98.55,0.0,0.0,80.0,1790.0,26.0,38.0,22.4,2.0,0.0,1.0,5.0,334.0,61.45,7.0,3792.5,15.0,84.75,184.0,33.9,16.5,3.0,36.0,237.5,8.7,17.0,2.0
Jaguars,29.0,33.0,87.9,2_2,7_6,11_9,10_9,0_0,0_0,1.0,35.0,98.55,0.0,0.0,80.0,1790.0,26.0,38.0,22.4,2.0,0.0,1.0,5.0,334.0,61.45,7.0,3792.5,15.0,84.75,184.0,33.9,16.5,3.0,36.0,237.5,8.7,17.0,2.0
Eagles,29.0,33.0,87.9,1_1,6_6,15_14,10_7,0_0,0_0,0.0,35.0,98.55,0.0,0.0,80.0,1790.0,26.0,38.0,22.4,2.0,0.0,1.0,5.0,334.0,61.45,7.0,3792.5,15.0,84.75,184.0,33.9,16.5,3.0,36.0,237.5,8.7,17.0,2.0
Dolphins,28.0,31.0,90.3,0_0,8_7,10_9,13_12,0_0,0_0,0.0,35.0,98.55,0.0,0.0,80.0,1790.0,26.0,38.0,22.4,2.0,0.0,1.0,5.0,334.0,61.45,7.0,3792.5,15.0,84.75,184.0,33.9,16.5,3.0,36.0,237.5,8.7,17.0,2.0
Buccaneers,28.0,34.0,82.4,0_0,8_8,10_8,9_7,0_0,0_0,1.0,35.0,98.55,0.0,0.0,80.0,1790.0,26.0,38.0,22.4,2.0,0.0,1.0,5.0,334.0,61.45,7.0,3792.5,15.0,84.75,184.0,33.9,16.5,3.0,36.0,237.5,8.7,17.0,2.0
Titans,27.0,34.0,79.4,0_0,15_13,8_7,9_6,0_0,0_0,0.0,35.0,98.55,0.0,0.0,80.0,1790.0,26.0,38.0,22.4,2.0,0.0,1.0,5.0,334.0,61.45,7.0,3792.5,15.0,84.75,184.0,33.9,16.5,3.0,36.0,237.5,8.7,17.0,2.0
Patriots,27.0,33.0,81.8,0_0,13_11,9_8,8_7,0_0,0_0,0.0,35.0,98.55,0.0,0.0,80.0,1790.0,26.0,38.0,22.4,2.0,0.0,1.0,5.0,334.0,61.45,7.0,3792.5,15.0,84.75,184.0,33.9,16.5,3.0,36.0,237.5,8.7,17.0,2.0
Bills,26.0,35.0,74.3,2_2,13_11,6_4,13_9,0_0,0_0,4.0,35.0,98.55,0.0,0.0,80.0,1790.0,26.0,38.0,22.4,2.0,0.0,1.0,5.0,334.0,61.45,7.0,3792.5,15.0,84.75,184.0,33.9,16.5,3.0,36.0,237.5,8.7,17.0,2.0
Broncos,26.0,34.0,76.5,0_0,13_13,8_7,11_5,0_0,0_0,0.0,35.0,98.55,0.0,0.0,80.0,1790.0,26.0,38.0,22.4,2.0,0.0,1.0,5.0,334.0,61.45,7.0,3792.5,15.0,84.75,184.0,33.9,16.5,3.0,36.0,237.5,8.7,17.0,2.0
Falcons,25.0,31.0,80.6,0_0,6_6,7_6,15_11,0_0,0_0,0.0,35.0,98.55,0.0,0.0,80.0,1790.0,26.0,38.0,22.4,2.0,0.0,1.0,5.0,334.0,61.45,7.0,3792.5,15.0,84.75,184.0,33.9,16.5,3.0,36.0,237.5,8.7,17.0,2.0
Cowboys,25.0,33.0,75.8,2_2,6_5,11_9,13_9,0_0,0_0,1.0,35.0,98.55,0.0,0.0,80.0,1790.0,26.0,38.0,22.4,2.0,0.0,1.0,5.0,334.0,61.45,7.0,3792.5,15.0,84.75,184.0,33.9,16.5,3.0,36.0,237.5,8.7,17.0,2.0
Colts,25.0,27.0,92.6,1_1,6_6,13_13,6_5,0_0,0_0,1.0,35.0,98.55,0.0,0.0,80.0,1790.0,26.0,38.0,22.4,2.0,0.0,1.0,5.0,334.0,61.45,7.0,3792.5,15.0,84.75,184.0,33.9,16.5,3.0,36.0,237.5,8.7,17.0,2.0
Steelers,25.0,30.0,83.3,1_1,8_8,10_9,9_6,0_0,0_0,0.0,35.0,98.55,0.0,0.0,80.0,1790.0,26.0,38.0,22.4,2.0,0.0,1.0,5.0,334.0,61.45,7.0,3792.5,15.0,84.75,184.0,33.9,16.5,3.0,36.0,237.5,8.7,17.0,2.0
