Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
FalconsFalcons,559,2718,4.9,17,17,4,44,152,27.2,8
BearsBears,558,3014,5.4,18,20,8,67,148,26.5,10
EaglesEagles,544,2509,4.6,32,17,2,42T,161,29.6,7
CommandersCommanders,538,2143,4,9,8,0,33,124,23,8
BrownsBrowns,532,2490,4.7,19,21,1,41,142,26.7,4
CowboysCowboys,531,2298,4.3,24,17,3,57,129,24.3,2
RavensRavens,526,2720,5.2,14,18,3,79T,167,31.8,9
GiantsGiants,520,2519,4.8,21,15,2,68,150,28.8,5
49ers49ers,504,2360,4.7,20,19,4,71,132,26.2,7
SteelersSteelers,500,2073,4.2,16,8,0,36,129,25.8,6
TitansTitans,487,2131,4.4,16,13,4,56,104,21.4,7
PanthersPanthers,483,2210,4.6,16,15,3,60T,119,24.6,10
LionsLions,480,2179,4.5,23,12,7,58,114,23.8,5
SaintsSaints,465,1982,4.3,12,7,3,60,103,22.2,8
PackersPackers,456,2113,4.6,12,10,1,46T,116,25.4,5
JaguarsJaguars,448,2116,4.7,16,15,6,62,114,25.4,9
BroncosBroncos,444,1935,4.4,11,7,1,52,105,23.6,10
ColtsColts,439,1866,4.2,8,9,1,66T,91,20.7,8
CardinalsCardinals,434,1873,4.3,15,9,2,45,115,26.5,11
BillsBills,430,2232,5.2,15,20,2,44T,128,29.8,12
RaidersRaiders,428,2059,4.8,12,9,2,86T,122,28.5,5
PatriotsPatriots,425,1812,4.3,12,11,2,49,98,23.1,8
SeahawksSeahawks,425,2042,4.8,12,18,4,74,106,24.9,5
ChiefsChiefs,417,1970,4.7,18,10,1,52,105,25.2,8
RamsRams,411,1661,4,15,8,1,42,89,21.6,5
JetsJets,405,1686,4.2,13,11,2,62,79,19.5,4
VikingsVikings,404,1661,4.1,18,5,3,81,93,23,5
ChargersChargers,404,1524,3.8,15,6,2,72T,93,23,6
BengalsBengals,399,1528,3.8,14,7,1,40,96,24.1,0
TexansTexans,398,1476,3.7,7,7,2,75,90,22.6,10
DolphinsDolphins,390,1686,4.3,12,10,1,67,93,23.8,5
BuccaneersBuccaneers,386,1308,3.4,5,3,0,35,79,20.5,5
