Team,Rsh TD,Rec TD,Tot TD,2-PT
EaglesEagles,32,25,59,2
CowboysCowboys,24,28,52,0
LionsLions,23,29,54,4
GiantsGiants,21,17,39,3
49ers49ers,20,30,52,0
BrownsBrowns,19,19,40,1
BearsBears,18,19,37,1
ChiefsChiefs,18,41,61,3
VikingsVikings,18,30,49,3
FalconsFalcons,17,17,38,3
PanthersPanthers,16,16,35,1
TitansTitans,16,16,34,1
JaguarsJaguars,16,25,43,4
SteelersSteelers,16,12,29,3
BillsBills,15,35,53,2
RamsRams,15,16,32,0
CardinalsCardinals,15,17,35,5
ChargersChargers,15,26,42,2
RavensRavens,14,19,34,2
BengalsBengals,14,35,49,3
JetsJets,13,15,29,0
PackersPackers,12,27,42,2
RaidersRaiders,12,28,41,0
DolphinsDolphins,12,30,44,0
PatriotsPatriots,12,19,37,1
SaintsSaints,12,24,37,3
SeahawksSeahawks,12,30,44,0
BroncosBroncos,11,18,29,1
CommandersCommanders,9,24,35,2
ColtsColts,8,17,28,1
TexansTexans,7,20,29,1
BuccaneersBuccaneers,5,26,32,2
