Team,Att,Cmp,CmpPct,Yds/Att,Yds,TD,INT,1st,1stPct,Sck,Rush,YPC,RushPct,RushPct2,FR,SFTY,3rd,3rdPct,4th,4thPct,Scrm,FF,FRPct,INTPct,INTPct2,Lng
Jets,517.0,265.0,51.3,5.7,2932.0,17.0,21.0,152.0,29.4,40.0,,,,,,,,,,,,,,,,
Packers,557.0,307.0,55.1,6.2,3451.0,28.0,21.0,186.0,33.4,38.0,,,,,,,,,,,,,,,,
Rams,534.0,323.0,60.5,7.1,3797.0,32.0,19.0,195.0,36.5,51.0,,,,,,,,,,,,,,,,
49ers,558.0,320.0,57.4,7.0,3915.0,25.0,13.0,194.0,34.8,38.0,,,,,,,,,,,,,,,,
Chiefs,549.0,358.0,65.2,6.3,3471.0,25.0,15.0,201.0,36.6,51.0,,,,,,,,,,,,,,,,
Chargers,552.0,326.0,59.1,6.4,3537.0,33.0,16.0,195.0,35.3,39.0,,,,,,,,,,,,,,,,
Eagles,552.0,314.0,56.9,5.4,2990.0,11.0,19.0,159.0,28.8,50.0,,,,,,,,,,,,,,,,
Colts,530.0,317.0,59.8,6.5,3422.0,22.0,14.0,177.0,33.4,42.0,,,,,,,,,,,,,,,,
Broncos,574.0,310.0,54.0,6.9,3946.0,26.0,27.0,189.0,32.9,44.0,,,,,,,,,,,,,,,,
Panthers,552.0,352.0,63.8,6.7,3712.0,19.0,17.0,184.0,33.3,27.0,,,,,,,,,,,,,,,,
Patriots,544.0,321.0,59.0,6.5,3522.0,23.0,10.0,184.0,33.8,29.0,,,,,,,,,,,,,,,,
Redskins,462.0,254.0,55.0,5.7,2621.0,12.0,17.0,134.0,29.0,45.0,,,,,,,,,,,,,,,,
Cardinals,459.0,296.0,64.5,6.8,3128.0,19.0,10.0,175.0,38.1,25.0,,,,,,,,,,,,,,,,
Bills,480.0,283.0,59.0,6.0,2867.0,18.0,16.0,153.0,31.9,42.0,,,,,,,,,,,,,,,,
Jaguars,458.0,258.0,56.3,6.9,3160.0,23.0,12.0,144.0,31.4,40.0,,,,,,,,,,,,,,,,
Bears,530.0,332.0,62.6,6.4,3407.0,25.0,11.0,172.0,32.4,36.0,,,,,,,,,,,,,,,,
Giants,585.0,327.0,55.9,5.8,3390.0,23.0,20.0,181.0,30.9,44.0,,,,,,,,,,,,,,,,
Falcons,515.0,306.0,59.4,7.0,3624.0,23.0,15.0,175.0,34.0,31.0,,,,,,,,,,,,,,,,
Seahawks,489.0,309.0,63.2,8.0,3937.0,23.0,17.0,185.0,37.8,27.0,,,,,,,,,,,,,,,,
Ravens,528.0,295.0,55.9,5.7,2997.0,11.0,23.0,135.0,25.6,35.0,,,,,,,,,,,,,,,,
