Team,Att,Cmp,CmpPct,Yds/Att,Pass,TD,INT,Rate,1st,1stPct,20+,40+,Lng,Sck,SckY,Rush,YPC,RushPct,RushPct2,RushPct3,Rec,Yds,Yds/Rec,RecPct1,RecPct2,RecPct3,Rsh,Tot,2-PT,3rd,3rdPct,4th,4thPct,Scrm
Jets,637.0,352.0,55.3,6.3,4023.0,23.0,29.0,67.5,192.0,30.1,50.0,8.0,63T,20.0,99.0,,,,,,,,,,,,,,,,,,,
Packers,600.0,348.0,58.0,6.5,3916.0,21.0,16.0,78.2,197.0,32.8,43.0,7.0,67,34.0,238.0,,,,,,,,,,,,,,,,,,,
Rams,587.0,380.0,64.7,9.4,5492.0,37.0,23.0,99.7,247.0,42.1,79.0,21.0,85T,44.0,260.0,,,,,,,,,,,,,,,,,,,
49ers,583.0,366.0,62.8,7.6,4400.0,32.0,10.0,97.0,211.0,36.2,61.0,9.0,69T,25.0,161.0,,,,,,,,,,,,,,,,,,,
Chiefs,582.0,342.0,58.8,7.6,4408.0,29.0,15.0,88.5,207.0,35.6,59.0,8.0,81T,34.0,259.0,,,,,,,,,,,,,,,,,,,
Chargers,578.0,311.0,53.8,6.1,3540.0,19.0,30.0,61.8,156.0,27.0,41.0,9.0,83,53.0,302.0,,,,,,,,,,,,,,,,,,,
Eagles,575.0,331.0,57.6,5.9,3386.0,21.0,15.0,75.9,182.0,31.6,46.0,5.0,70T,45.0,262.0,,,,,,,,,,,,,,,,,,,
Colts,571.0,357.0,62.5,7.7,4413.0,33.0,15.0,94.7,213.0,37.3,51.0,8.0,78T,20.0,131.0,,,,,,,,,,,,,,,,,,,
Broncos,569.0,354.0,62.2,7.8,4464.0,28.0,12.0,94.2,223.0,39.2,65.0,10.0,61,30.0,221.0,,,,,,,,,,,,,,,,,,,
Panthers,566.0,340.0,60.1,6.8,3850.0,19.0,19.0,77.7,201.0,35.5,47.0,2.0,54,69.0,382.0,,,,,,,,,,,,,,,,,,,
Patriots,565.0,328.0,58.0,6.1,3461.0,18.0,15.0,75.5,172.0,30.4,35.0,5.0,59T,48.0,280.0,,,,,,,,,,,,,,,,,,,
Redskins,561.0,343.0,61.1,6.9,3892.0,18.0,21.0,77.0,185.0,33.0,43.0,10.0,77T,32.0,244.0,,,,,,,,,,,,,,,,,,,
Cardinals,554.0,316.0,57.0,6.3,3478.0,16.0,24.0,67.4,156.0,28.2,41.0,11.0,70,35.0,228.0,,,,,,,,,,,,,,,,,,,
Bills,546.0,312.0,57.1,7.2,3936.0,20.0,10.0,84.3,174.0,31.9,59.0,9.0,74T,59.0,360.0,,,,,,,,,,,,,,,,,,,
Jaguars,545.0,333.0,61.1,7.2,3947.0,22.0,15.0,85.2,193.0,35.4,42.0,11.0,67,54.0,289.0,,,,,,,,,,,,,,,,,,,
Bears,542.0,304.0,56.1,5.5,3005.0,12.0,16.0,67.0,143.0,26.4,29.0,6.0,68,34.0,200.0,,,,,,,,,,,,,,,,,,,
Giants,529.0,311.0,58.8,6.8,3610.0,22.0,13.0,83.1,195.0,36.9,46.0,7.0,59,28.0,243.0,,,,,,,,,,,,,,,,,,,
Falcons,514.0,285.0,55.4,6.2,3166.0,14.0,20.0,66.8,156.0,30.4,32.0,5.0,55,61.0,386.0,,,,,,,,,,,,,,,,,,,
Seahawks,507.0,308.0,60.8,6.3,3198.0,21.0,21.0,75.5,168.0,33.1,26.0,7.0,71,46.0,238.0,,,,,,,,,,,,,,,,,,,
Ravens,504.0,287.0,56.9,6.2,3102.0,20.0,19.0,72.7,156.0,31.0,37.0,8.0,59,43.0,287.0,,,,,,,,,,,,,,,,,,,
Lions,503.0,277.0,55.1,6.0,2992.0,14.0,19.0,66.3,143.0,28.4,35.0,4.0,59T,53.0,317.0,,,,,,,,,,,,,,,,,,,
Saints,497.0,298.0,60.0,7.2,3573.0,22.0,15.0,84.2,169.0,34.0,42.0,8.0,53,39.0,244.0,,,,,,,,,,,,,,,,,,,
Vikings,495.0,307.0,62.0,8.1,4019.0,33.0,18.0,94.7,193.0,39.0,57.0,13.0,78T,35.0,187.0,,,,,,,,,,,,,,,,,,,
Browns,483.0,278.0,57.6,5.6,2728.0,9.0,19.0,63.4,110.0,22.8,25.0,3.0,79,40.0,283.0,,,,,,,,,,,,,,,,,,,
Raiders,475.0,284.0,59.8,7.2,3430.0,28.0,11.0,92.0,177.0,37.3,42.0,8.0,84T,28.0,124.0,,,,,,,,,,,,,,,,,,,
Titans,462.0,286.0,61.9,7.4,3430.0,18.0,16.0,83.2,167.0,36.2,41.0,6.0,67,27.0,164.0,,,,,,,,,,,,,,,,,,,
Bengals,454.0,207.0,45.6,4.9,2219.0,6.0,14.0,52.0,109.0,24.0,26.0,1.0,46,52.0,273.0,,,,,,,,,,,,,,,,,,,
