Team,FGM,Att,FG,1-19 >,20-29 >,30-39 >,40-49 >,50-59 >,60+ >,Lng,FGPct,XPM,XP,KRet,PRet,KO,Yds,TB,TBPct,Ret,RetPct,OSK,OSKPct,OOB,TD,Cmp,CmpPct,Yds/Att,Pass,INT,Rate,1st,1stPct,20+,40+,Sck,SckY,Avg,FC,FUM
Ravens,35.0,39.0,89.7,2_2,9_9,13_12,12_10,0_0,0_0,51,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,33.0,38.0,86.8,0_0,8_7,10_10,15_13,0_0,0_0,52,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,31.0,35.0,88.6,1_1,15_13,9_8,8_7,0_0,0_0,52,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,29.0,33.0,87.9,2_2,7_6,11_9,10_9,0_0,0_0,51,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,29.0,33.0,87.9,1_1,6_6,15_14,10_7,0_0,0_0,51,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,28.0,31.0,90.3,0_0,8_7,10_9,13_12,0_0,0_0,49,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,28.0,34.0,82.4,0_0,8_8,10_8,9_7,0_0,0_0,55,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,27.0,34.0,79.4,0_0,15_13,8_7,9_6,0_0,0_0,50,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,27.0,33.0,81.8,0_0,13_11,9_8,8_7,0_0,0_0,53,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,26.0,35.0,74.3,2_2,13_11,6_4,13_9,0_0,0_0,48,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,26.0,34.0,76.5,0_0,13_13,8_7,11_5,0_0,0_0,51,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,25.0,31.0,80.6,0_0,6_6,7_6,15_11,0_0,0_0,51,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,25.0,33.0,75.8,2_2,6_5,11_9,13_9,0_0,0_0,48,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,25.0,27.0,92.6,1_1,6_6,13_13,6_5,0_0,0_0,48,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,25.0,30.0,83.3,1_1,8_8,10_9,9_6,0_0,0_0,52,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,24.0,30.0,80.0,2_2,7_6,12_10,7_4,0_0,0_0,54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,24.0,27.0,88.9,2_2,7_7,8_7,7_6,0_0,0_0,51,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,23.0,34.0,67.6,2_2,6_6,8_6,14_8,0_0,0_0,54,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,23.0,29.0,79.3,1_1,6_6,5_4,15_12,0_0,0_0,48,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,23.0,34.0,67.6,1_1,9_8,8_6,13_7,0_0,0_0,51,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,22.0,23.0,95.6,1_1,5_5,9_9,7_7,0_0,0_0,49,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,21.0,27.0,77.8,1_1,5_5,9_7,10_6,0_0,0_0,54,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,21.0,26.0,80.8,1_1,7_6,4_2,10_9,0_0,0_0,52,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redskins,20.0,30.0,66.7,0_0,11_11,10_5,7_3,0_0,0_0,50,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,19.0,25.0,76.0,0_0,9_9,9_6,7_4,0_0,0_0,46,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,18.0,25.0,72.0,1_1,3_3,7_5,10_7,0_0,0_0,54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,17.0,24.0,70.8,1_1,6_6,11_7,6_3,0_0,0_0,42,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,16.0,23.0,69.6,1_1,2_2,11_9,5_2,0_0,0_0,54,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,15.0,22.0,68.2,0_0,7_6,8_6,6_3,0_0,0_0,47,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,14.0,17.0,82.4,3_3,4_4,5_5,5_2,0_0,0_0,45,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,12.0,21.0,57.1,0_0,5_5,9_5,7_2,0_0,0_0,45,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,35.0,,89.7,,,,,,,,,30.0,100.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
